source,programme_code,title,organiser,date_raw,points_or_category_raw,trust_tier,source_url,notes
AHP_COUNCIL_OT,OT23001,Advance Course by Dr. Abbie,MB Medical Equipments Limited,25 and 26 August 2023,12 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,matches the worked example in the CPD_RecordForm.xlsx Ivan supplied
AHP_COUNCIL_OT,OT23002,"Foot, Knee and Hip Mobilization Training",MB Medical Equipments Limited,27 August 2023,3.5 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,
AHP_COUNCIL_OT,OT23003,HKSSH Certificate Courses in Hand & Upper Limb Surgery (Module 2): Microsurgery and Microvascular Reconstruction,The Hong Kong Society for Surgery of the Hand,16 September 2023,2 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,
AHP_COUNCIL_OT,OT23004,25th Annual Certificate Course on Respiratory Medicine,"Division of Respiratory Medicine, Department of Medicine and Therapeutics, The Chinese University of Hong Kong",12 December 2023,6 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,
AHP_COUNCIL_OT,OT23005,Symposium on Advanced Continence Care,Hong Kong Association of Gerontology,25 July 2023,1.5 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,
AHP_COUNCIL_OT,OT23006,Oral-motor and feeding intervention for pre-schoolers - From assessment to intervention,Heep Hong Society,13 January 2024,3.5 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,
AHP_COUNCIL_OT,OT23007,Certified Cognitive Stimulation Therapy Practitioner Course,"The University of Hong Kong, International CST Centre UCL, Christian Family Service Centre Mind Delight Centre",15 and 22 August 2023,6 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,
AHP_COUNCIL_OT,OT23008,Training Course on Understanding Mild Cognitive Impairment (MCI) and Dementia of Elders (Part I) (Class A),Housing Society Elderly Resources Centre & Social Welfare Department,11 August 2023,3 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,
AHP_COUNCIL_OT,OT23009,Training Course on Understanding Mild Cognitive Impairment (MCI) and Dementia of Elders (Part II) (Class A),Housing Society Elderly Resources Centre & Social Welfare Department,11 August 2023,3.5 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,
AHP_COUNCIL_OT,OT23010,Certificate in Ayres Sensory Integration (CASI) - Module 3,CREST Child Rehabilitation and Education Service Team,5 to 8 September 2023,18 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,
AHP_COUNCIL_OT,OT23011,Certificate in Ayres Sensory Integration (CASI) - Module 6,CREST Child Rehabilitation and Education Service Team,17 to 20 April 2024,18 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,
AHP_COUNCIL_OT,OT22077,Hi-FIVE writing-skills certificate course (stage 1) - 9th run [Chinese title in source],CREST Child Rehabilitation and Education Service Team,1 June 2023 to 27 July 2023 (every Thursday except 22 June 2023),16 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,title translated/summarised from Chinese source text
AHP_COUNCIL_OT,OT22078,Sensory Integration Module 1 - Foundations and Neuroscience,Sensory Integration Education,Online from September 2022 to July 2023,18 CPD credit points,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,
AHP_COUNCIL_OT,OT23012,Irien Screener Certification Training [Chinese title in source],CREST Child Rehabilitation and Education Service Team,19 and 20 July 2023,11 CPD credit point,body_confirmed,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,title translated/summarised from Chinese source text
AHP_COUNCIL_OT,OT23013,(CANCELLED - excluded from listing),,,,excluded,https://www.ahp-council.org.hk/ot/en/content.php?page=cpd_ot2326,body's own table marks this row cancelled; kept as a row here only to document that cancellations appear in-source and need filtering
