source,programme_code,title,organiser,date_raw,points_or_category_raw,trust_tier,source_url,notes
HKIE,CPD0916/2026,Global BIM Manager Professional Training Course,,21-25 September 2026 9:30am-6:30pm,,body_confirmed,https://hkie.org.hk/professional-development/continuing-professional-development/cpd-calendar/,organiser not shown on calendar row; category filter exists (GPM/H&S/OTM) but not captured per-row in this pass
HKIE,CPD0915/2026,Global BIM Coordinator Professional Training Course,,11 & 14-18 September 2026 9:30am-6:30pm,,body_confirmed,https://hkie.org.hk/professional-development/continuing-professional-development/cpd-calendar/,
HKIE,CPD0914/2026,Machine Learning in Engineering Practices,,20 September 2026 (Sun) 2:00-6:00pm,,body_confirmed,https://hkie.org.hk/professional-development/continuing-professional-development/cpd-calendar/,
HKIE,CPD0913/2026,Psychology for Safety Officers & Managers,,23 September 2026 (Wed) 9:00am-5:00pm,,body_confirmed,https://hkie.org.hk/professional-development/continuing-professional-development/cpd-calendar/,
HKIE,CPD0912/2026,Laboratory Management System (ISO/IEC 17025:2017) Internal Auditing Training,,18-19 Sept 2026 10am-5pm,,body_confirmed,https://hkie.org.hk/professional-development/continuing-professional-development/cpd-calendar/,
HKIE,CPD0911/2026,Training course on Greenhouse Gases Verification and Validation,,18-19 Sept 2026 10am-5pm,,body_confirmed,https://hkie.org.hk/professional-development/continuing-professional-development/cpd-calendar/,
HKIE,CPD0910/2026,Essentials of NEC4 Engineering Construction Contract (ECC),,18 September 2026 (Fri) 0900-1700,,body_confirmed,https://hkie.org.hk/professional-development/continuing-professional-development/cpd-calendar/,
HKIE,CPD0909/2026,"Statutory Construction Adjudication - Do's, Don'ts and More",,17 September 2026 (Thu) 9:30am-12:30pm and 2:00pm-5:00pm,,body_confirmed,https://hkie.org.hk/professional-development/continuing-professional-development/cpd-calendar/,
HKIE,CPD0908/2026,eLearning series: Mastering AI Tools for Professional Technical Writing,,1-30 September 2026 any 3 hours,,body_confirmed,https://hkie.org.hk/professional-development/continuing-professional-development/cpd-calendar/,
HKIE,CPD0907/2026,eLearning series: The financial side of project management,,1-30 September 2026 any 3 hours,,body_confirmed,https://hkie.org.hk/professional-development/continuing-professional-development/cpd-calendar/,
